Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/CSQ A synthesized code smells and quality dataset,187,187,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells,49,49,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/csv/1 spring-framework,465476,465476,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/csv/10 Signal-Android-master,53728,53728,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/csv/2 junit-5,40218,40218,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/csv/3 kafka-trunk,125247,125247,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/csv/4 lucene-solr-master,716311,716311,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/csv/5 dropwizard-master,50547,50547,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/csv/6 checkstyle-master,54382,54382,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/csv/7 hadoop-trunk,1022946,1022946,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/csv/8 selenium-trunk,62652,62652,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/csv/9 skywalking-master,45450,45450,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/html/2 junit-5,83781,83781,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/html/4 lucene-solr-master,1072671,1072671,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/html/5 dropwizard-master,66297,66297,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/html/6 checkstyle-master,68883,68883,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/html/8 selenium-trunk,86217,86217,0,"100,00"
/CSQ A synthesized code smells and quality dataset/codesmells/html/9 skywalking-master,93303,93303,0,"100,00"
/CSQ A synthesized code smells and quality dataset/quality_attributes/1 spring-framework,238425,238425,0,"100,00"
/CSQ A synthesized code smells and quality dataset/quality_attributes/10 Signal-Android-master,36361,36361,0,"100,00"
/CSQ A synthesized code smells and quality dataset/quality_attributes/2 junit-5,17006,17006,0,"100,00"
/CSQ A synthesized code smells and quality dataset/quality_attributes/3 kafka-trunk,64673,64673,0,"100,00"
/CSQ A synthesized code smells and quality dataset/quality_attributes/4 lucene-solr-master,214627,214627,0,"100,00"
/CSQ A synthesized code smells and quality dataset/quality_attributes/5 dropwizard-master,21789,21789,0,"100,00"
/CSQ A synthesized code smells and quality dataset/quality_attributes/6 checkstyle-master,31429,31429,0,"100,00"
/CSQ A synthesized code smells and quality dataset/quality_attributes/7 hadoop-trunk,307385,307385,0,"100,00"
/CSQ A synthesized code smells and quality dataset/quality_attributes/8 selenium-trunk,34587,34587,0,"100,00"
/CSQ A synthesized code smells and quality dataset/quality_attributes/9 skywalking-master,20269,20269,0,"100,00"
/CSQ A synthesized code smells and quality dataset/reports,4,4,0,"100,00"
/CSQ A synthesized code smells and quality dataset/synthesized,190708,190708,0,"100,00"
